driver_id,full_name,phone,vehicle_type,vehicle_plate,current_lat,current_lon,current_area,city,rating,total_trips,joined_at,is_active
aac69683-a7c8-4177-97e5-82c8a5968a5e,Lestari Pratama,081893366112,Motor,B 5055 SM,3.637306,98.706809,Medan Timur,medan,4.3,1990,2023-07-07 21:49:26,1
80c24adf-bdba-46cf-89a6-c48f5605dde7,Dinda Anggraini,083233985908,Motor,B 9115 ZC,-6.133607,106.86512,Jakarta Utara,jakarta,4.7,638,2021-12-01 13:10:03,1
c22bb62f-78be-4dda-bcd3-591df4308929,Arif Wati,088548570760,Motor,B 3306 PR,-6.261109,106.823016,Jakarta Selatan,jakarta,3.8,3906,2023-01-18 15:56:07,1
9f183beb-5c64-486e-8774-deb742b7e059,Dimas Nugroho,082486811437,Motor,B 6989 IS,3.559377,98.677875,Medan Barat,medan,4.6,3574,2023-04-19 22:57:39,1
18d26a9e-ae45-4a67-8498-fe9717f7c921,Siti Suharto,081833361175,Motor,B 8834 PD,3.619388,98.698085,Medan Kota,medan,4.2,3165,2023-06-30 04:36:53,1
22927523-5e39-47f4-96ba-045e538b4c40,Fajar Utami,085838613502,Motor,B 5457 PB,3.559264,98.677277,Medan Barat,medan,4.9,2551,2021-09-18 06:27:48,1
fa6e0533-0d4c-4d60-9b9e-8e2eda4145c8,Dinda Wijaya,083116663794,Motor,B 8225 HC,3.629698,98.749562,Medan Timur,medan,4.1,359,2023-04-14 20:23:22,1
26ed3ed6-b699-44ee-81ec-c2500997d1d1,Fifi Firmansyah,088673617767,Mobil,B 7418 WP,3.592689,98.707051,Medan Timur,medan,5.0,1632,2021-07-17 13:00:44,1
b3961e07-f378-4576-8866-2c8f96edbc13,Dimas Utami,088316877887,Motor,B 9226 QJ,-7.247961,112.744025,Surabaya Pusat,surabaya,4.9,4792,2023-10-04 05:59:20,1
81d6ab00-5f6a-4b82-9ddf-2998649ef14f,Lestari Saputra,082418957641,Motor,B 4806 XI,-7.258974,112.746519,Surabaya Pusat,surabaya,4.1,384,2023-12-27 19:04:43,1
d1b72d0d-5153-47f3-9424-8303093548af,Sari Putra,084375821743,Motor,B 9375 CA,3.60258,98.692137,Medan Kota,medan,4.6,3256,2022-01-17 03:19:32,0
a801fec6-fc50-414c-8b6e-082a367124d2,Siti Setiawan,082628371125,Mobil,B 2062 MH,-6.233194,106.931827,Jakarta Timur,jakarta,4.0,2825,2022-03-14 22:25:03,0
a0328d8f-2ca9-48c1-8e12-b2a820f1f7ab,Fifi Santoso,082473893121,Motor,B 3793 JB,3.615514,98.716337,Medan Timur,medan,4.5,74,2021-04-23 02:42:11,0
7c29fc76-b071-44ab-b4d9-a1a96d962c2e,Ayu Rahayu,086783577739,Motor,B 5727 CE,3.551229,98.659603,Medan Barat,medan,4.9,3987,2021-02-07 03:02:40,1
53ade8af-edbd-4bdb-b15a-2bae3f94e62a,Bagas Nugroho,088628140806,Motor,B 3759 TD,-7.288013,112.717144,Surabaya Barat,surabaya,4.9,1982,2023-02-20 03:58:37,1
d0c6f61a-f631-4833-b705-35e2656509e4,Rizky Saputra,089316077355,Motor,B 9122 IH,-7.243764,112.749163,Surabaya Pusat,surabaya,4.6,3177,2021-09-13 14:13:00,1
0c88e809-0d6c-479d-ac92-30849d210581,Aldi Santoso,089038582041,Motor,B 7177 PE,-6.184088,106.842841,Jakarta Selatan,jakarta,4.4,2250,2021-08-15 01:22:26,1
5f952119-16f6-4b1a-83f6-5c66766ccec9,Nisa Suharto,087130030035,Motor,B 5013 HJ,3.610046,98.661007,Medan Kota,medan,4.6,1309,2023-09-10 22:52:42,0
e88c5158-23d6-49c5-883a-6e41d96c96b0,Kevin Rahayu,085823462357,Mobil,B 6798 QG,-6.261978,106.801996,Jakarta Selatan,jakarta,4.0,2239,2023-11-10 01:51:23,1
337fb0c0-1900-4eeb-95f8-bfb75793e91b,Bagas Putra,089921237842,Motor,B 3348 JX,3.551773,98.706892,Medan Kota,medan,4.9,1175,2022-03-11 22:02:05,1
ac7133ff-c59c-4c27-8f55-e12147114cf7,Citra Utami,087359727946,Motor,B 3250 QW,-6.122507,106.842642,Jakarta Utara,jakarta,4.3,1230,2021-02-18 09:19:32,1
f2c3dbd6-2bb3-4cf7-8766-9b4606698717,Siti Wati,081391354508,Motor,B 4776 NO,-7.261583,112.693247,Surabaya Barat,surabaya,4.2,3022,2021-05-09 21:58:18,1
6cb4b0b7-5f0c-4c5b-a09f-3266287382be,Putri Suharto,084451059320,Motor,B 8590 HP,3.563482,98.666764,Medan Barat,medan,3.7,4615,2021-10-20 07:00:31,1
395d5184-b3d3-4661-a4e1-77986a8bff6e,Fajar Pratama,087257377808,Motor,B 8330 UU,-6.182513,106.810299,Jakarta Selatan,jakarta,4.8,1803,2023-02-05 04:49:45,1
22f64eda-43a3-4a99-a96a-b565a102db4b,Reza Wijaya,082362262983,Motor,B 4532 DE,-6.183088,106.805672,Jakarta Selatan,jakarta,4.8,3451,2022-01-27 21:20:24,1
b062d5e3-807b-4ebd-8132-f44198a32fc5,Indah Rahayu,086614687154,Motor,B 8826 DP,3.63197,98.718909,Medan Timur,medan,3.6,721,2023-10-11 04:44:25,1
af894ef7-f96a-44a8-99c9-6522e97c6d33,Arif Firmansyah,089359918884,Motor,B 1280 DG,-6.25677,106.821637,Jakarta Selatan,jakarta,4.0,4524,2022-04-19 22:22:57,1
48aa4211-3429-43c8-b473-41ff5cc4ffb0,Reza Pratama,086635845239,Motor,B 1387 VU,-6.20713,106.796653,Jakarta Selatan,jakarta,4.5,1093,2021-02-19 19:43:20,1
1adea6fe-c0aa-4b12-986d-ce78870a7c88,Rina Wati,082694655719,Mobil,B 1644 ZM,3.617465,98.687805,Medan Kota,medan,4.3,4567,2023-12-17 18:13:58,0
f046040a-23c2-46aa-88b9-b262e788f050,Fifi Utami,086248093719,Mobil,B 4741 TX,3.550051,98.683643,Medan Kota,medan,4.4,3721,2022-05-01 19:57:29,0
5093a4ad-4b6c-4a57-a8ad-0c1c3746ecde,Arif Rahayu,088320856957,Motor,B 1294 ET,-7.246953,112.7425,Surabaya Pusat,surabaya,4.9,2510,2023-06-23 21:03:29,1
505d93ab-839c-4b97-9310-757be5418626,Ayu Kusuma,086659540012,Motor,B 3105 TX,-7.257207,112.746311,Surabaya Pusat,surabaya,4.1,2384,2023-02-17 17:07:49,0
0d6b0012-099e-4c2f-b713-50cd4633a440,Tari Pratama,081163194290,Motor,B 4230 GF,-6.274482,106.864074,Jakarta Selatan,jakarta,3.9,3221,2023-08-05 05:52:03,1
